,Star,Date,Style,Review
21,5.0,2022-09-11,베스트 셀러 팩,Love Nespresso machine!
22,5.0,2022-09-18,베스트 셀러 팩,I buy these often! They come so quickly and are so good!
23,5.0,2022-09-10,베스트 셀러 팩,Good flavor!
24,5.0,2018-08-07,베스트 셀러 팩,"While I'll admit the pods aren't cheap, you can't beat foof-y cafe latte feel in the comfort of your own slippers! The coffee or espresso provided in these pods is strong (I get the higher numbers usually) but the end frothiness makes it all feel luxurious so I don't mind that these probably aren't the best 'bargain' option. My only suggestion would be that the Amazon provider also include the handy recycling bag that Nespresso offers when you order directly from them so as to be eco-conscious!"
25,5.0,2020-01-30,베스트 셀러 팩,My wife and I love our Nespresso machine and these pods are perfect. Flavors are great and the price is right.
26,5.0,2022-09-11,베스트 셀러 팩,This is a great mix to figure out what you like. Overpriced but very smooth!
27,5.0,2022-09-13,베스트 셀러 팩,These are super tasty. I’m addicted to them already. Almost time to reorder. I’m thinking about using them as stocking stuffers for Xmas as well.
28,5.0,2022-09-13,베스트 셀러 팩,My wife and I love all three flavors. The are distinctly different but all with full bodied flavor.
29,5.0,2022-09-20,베스트 셀러 팩,Our favorite flavor was Stormio!
30,5.0,2022-08-02,베스트 셀러 팩,Love the Nespresso Coffee Maker and ordering the coffee on line is easy. I have auto delivery. Sure wouldn’t want to run out. Wish they cost a bit less. But I will continue to order and enjoy my two cups in the morning.
31,5.0,2022-09-02,베스트 셀러 팩,I love the taste but it is too expensive to be used everyday.
32,5.0,2022-09-11,베스트 셀러 팩,"So long as you like the system, it's great (little expensive though)"
33,5.0,2022-09-01,베스트 셀러 팩,Great coffee for my new Nespresso. Thanks for the prompt delivery.
34,5.0,2022-09-07,베스트 셀러 팩,Great
35,5.0,2022-09-12,베스트 셀러 팩,Nespresso has a rich and bold taste to each and every one of their coffee pods. Absolutely love Nespresso coffee.
36,5.0,2018-08-07,베스트 셀러 팩,"These are economically the same as ordering from Nespresso, except that I can get my Amazon points.
Seem to be very equivalent in every way. The only drawback is that you don't receive any RECYCLING BAGS as you get for free from Nespresso."
37,5.0,2020-01-30,베스트 셀러 팩,My new favorite coffee!
38,5.0,2022-08-16,베스트 셀러 팩,We’ve ordered this before and not only is the flavor and the quality amazing but i ordered last night just to wake up to it being delivered before 7 am. Amazing customer service
39,5.0,2022-09-01,베스트 셀러 팩,"I appreciate the consistent tasty flavor in these coffee pods for our Nespresso machine. Packaged in 3 flavors, it also gives us some variety."
40,5.0,2022-09-04,베스트 셀러 팩,"Love the coffee but they don't provide bags for recycling pods in every box. I can't throw away aluminum pods. Need more bags,please!"
41,5.0,2022-09-02,베스트 셀러 팩,"Good mix of coffees if you're not feeling too adventurous with your Nespresso, or just need something more fitting for everyday consumption. The Melozio, in my opinion, is a great baseline flavor, with Odacio and Stormio each getting stronger."
42,5.0,2022-09-13,베스트 셀러 팩,Excellent product
43,5.0,2022-08-24,베스트 셀러 팩,This is a great product however I've had a lot of difficulty getting my Amazon deliveries here they always seem to get lost. I have started ordering these directly from Nespresso and they are the exact same price anyways with much more reliable tracking notifications
44,5.0,2022-08-12,베스트 셀러 팩,These are great in case you run out they can be delivered quickly and are a little cheaper. They are the ones sold by Nespresso so they are quality.
45,5.0,2022-09-08,베스트 셀러 팩,Rico se las recomiendo es un café divino
46,5.0,2022-08-15,베스트 셀러 팩,"The pods and the machine are pricy, but I cannot find a coffee that’s anywhere near as good as these pods. It kinda ruined all other coffees for me."
47,5.0,2022-08-22,베스트 셀러 팩,Muy rico su sabor excelente
48,5.0,2018-08-07,베스트 셀러 팩,"It is a great variety pack with 3 flavors. My only complaint was one of the sleeves with the cartridges had 3 of them busted open. There was coffee all over in the Box, then opened the sleeves and found 3 damaged servings. If more of the capsules would of been broken I'd be bummed. So consider that then when ordering this type of product online."
49,5.0,2020-01-30,베스트 셀러 팩,I love that this brings mild to strong flavors.
50,5.0,2022-08-19,베스트 셀러 팩,pure and good smelling espresso ! love em
51,5.0,2022-08-09,베스트 셀러 팩,Nespresso never disappoints in taste or value.
52,5.0,2022-09-04,베스트 셀러 팩,We love this trio of sleeves so much we have it auto shipped :)
53,4.0,2022-08-03,베스트 셀러 팩,although I did not revive it I can say it is very good concentrated
54,5.0,2022-08-12,베스트 셀러 팩,
55,5.0,2022-08-25,베스트 셀러 팩,Best coffee ever it's so delicious!! I'm addicted!!! 🤣 I get grumpy if I don't have my Nespresso!! 🤣
56,5.0,2022-08-13,베스트 셀러 팩,"This product is so simple to use, and so convenient! It tastes delicious and I love how it comes in a variety pack!!!"
57,5.0,2022-08-26,베스트 셀러 팩,What I ordered and delivered fast
58,5.0,2022-07-17,베스트 셀러 팩,Nothing
59,5.0,2022-08-20,베스트 셀러 팩,In a minute I have instant cappuccino without the hassle! Love it!
60,5.0,2018-08-07,베스트 셀러 팩,"Play Video
 I just got the nespresso and I was worried about quality but this knocked it out of the park. Perfect"
61,5.0,2020-01-30,베스트 셀러 팩,So much faster than a Nespresso.
62,5.0,2022-08-21,베스트 셀러 팩,Better than Starbucks at a fraction of the cost AND I don't have to leave the house!
63,5.0,2022-08-21,베스트 셀러 팩,I personally enjoy it very much!
64,5.0,2022-08-11,베스트 셀러 팩,"Since we moved further from our local nespresso store we started ordering here on Amazon. The quality of coffee is no different and this trio happens to be my favorite coffee pods of all. We are so happy we set it up on Amazon auto delivery.

We had ordered our coffee a few times before we moved on nespressos website but it took so long for us to receive and who has time to wait 5-7 days for their coffee.

All in all Amazon wins."
65,5.0,2022-08-11,베스트 셀러 팩,A must have in our house!!!
66,5.0,2022-08-19,베스트 셀러 팩,Literally only thing that keeps me going with a newborn!!!
67,5.0,2022-08-07,베스트 셀러 팩,I like the package and taste
68,4.0,2022-08-03,베스트 셀러 팩,"Some of the reviews say these are NOT made by Nespresso, they are fake in fake packaging. Can anyone prove this? I find it hard to believe on a product sponsored by Nespresso are shipping fake product."
69,5.0,2022-08-12,베스트 셀러 팩,Enjoyed taste
70,5.0,2022-08-16,베스트 셀러 팩,Awesome mix of regular coffees
71,5.0,2022-08-08,베스트 셀러 팩,Great product and price
72,5.0,2018-08-07,베스트 셀러 팩,Nespresso is the best! It’s so delicious. This is a good price and comparable to their website.
73,4.0,2020-01-30,베스트 셀러 팩,"I switched to Nespresso simply because they have the best single cup coffees available, and the three included in this package are among my favorites. The only negatives to Nespresso coffees, in general, are price and availability. The Nespresso capsules are considerably more expensive than any of their competitor's products. Additionally, since they recently closed our only local Nespresso Boutique, I am relegated to buying the capsules online. The ability to purchase the capsules is a great convenience because they arrive much quicker than if purchased directly through Nespresso, and the prices are the same. The only things lacking from Amazon are the variety of coffees, free gifts included in direct purchases, and the lack of recycle bags for used Nespresso capsules. I have received recycle bags in two of the packages I purchased from Amazon, but this is not nearly enough. I wish Amazon would include a recycle bag in each box of capsules."
74,5.0,2022-09-26,베스트 셀러 팩,"There are several varieties of coffee pods to choose from. Order a bunch and decide for yourself which ones are your favorite! We like them all. Some are more bitter than others, but some days that's what you want!
I would reorder these pods again, and from this vendor."
75,4.0,2022-08-08,베스트 셀러 팩,excelente lo recomiendo
76,4.0,2022-08-01,베스트 셀러 팩,I say the flavors are okay not my favorite I like my coffee Iced and just had a hard time making Ice coffee with these and they didn’t go well with the creamer I like. So if you like warm coffee and a lot than you might like these.
77,5.0,2022-08-09,베스트 셀러 팩,the coffee tastes amazing!!! they really know how to make coffee.
78,5.0,2022-06-18,베스트 셀러 팩,"3 different flavors, one better than the other. My favorite is Stormio. A must buy for coffee and dark roast lovers."
79,5.0,2022-08-02,베스트 셀러 팩,This combination of flavors is actually amazing!
80,5.0,2022-07-29,베스트 셀러 팩,"My boyfriend drink coffee and very convenient for me to make it, specially if you are always on the go"
81,5.0,2022-08-01,베스트 셀러 팩,Great taste and super easy to order
82,5.0,2022-06-30,베스트 셀러 팩,Love my nespresso machine and love this coffee. It’s just too expensive
83,5.0,2022-08-05,베스트 셀러 팩,Great flavors!
84,5.0,2018-08-07,베스트 셀러 팩,I buy these regularly. Have to have
85,5.0,2020-01-30,베스트 셀러 팩,"I love that there are three varieties and strengths here. Depending on my mood, I may want to be a little more caffeinated than at other times. It gives me options and I like options."
86,5.0,2022-07-31,베스트 셀러 팩,I love my Nespresso and these pods are excellent.
87,4.0,2022-08-03,베스트 셀러 팩,Why does everyone always sell the same basic flavors? This one is exceptional I just wish they had more flavors. Make it happen.
88,5.0,2022-07-22,베스트 셀러 팩,"I love that you get a variety of flavors with this pack. I think it’s a great way to try out what you like and also makes a great gift for someone with a nespresso! For me, personally, I did not enjoy the odacio flavor in this. It’s very fruity and acidic and it’s just not my cup of tea (haha). But that’s 100% a personal preference. If you don’t like fruity/acidic coffee, I may recommend going with a different pack because 10 of the 30 pods wouldn’t suit your taste. But otherwise I think it’s great!"
89,5.0,2022-02-14,베스트 셀러 팩,3 flavors varying in strength love nespresso vertuo line such a great coffee. These pods are perfect to drink alone or with milk.
90,5.0,2022-06-24,베스트 셀러 팩,The variety is good the flavors are magnificent.
91,5.0,2022-07-16,베스트 셀러 팩,"I really look forward to a fresh cup of coffee every morning since I bought the delicious Nespresso coffee pods. They’re so full of flavor and freshness, I no longer feel the need to purchase a cup of coffee from a coffee shop. I have the coffee shop at home."
92,5.0,2022-06-10,베스트 셀러 팩,So delicious! But if you can’t tolerate strong coffee I would recommend get a lower roast.
93,4.0,2022-07-17,베스트 셀러 팩,Got the wrong ones for my machine. Couldn't use them to taste. Everything else was great. Shipping and speed in which they came in.
94,5.0,2022-07-09,베스트 셀러 팩,I look forward to my Nespresso coffee every morning. My favorite and ready quickly.
95,4.0,2022-07-19,베스트 셀러 팩,"Cost way to much use reusable pods, but reusable pods sometimes don’t work well in your unit."
96,5.0,2018-08-07,베스트 셀러 팩,Great tasting and great variety. But you need a Nespresso coffee maker and it is one of a little more expensive coffees.
97,5.0,2020-01-30,베스트 셀러 팩,The coffee is awesome! Great taste. Not bitter!
98,5.0,2022-07-09,베스트 셀러 팩,I bought these for my kids for Christmas. They absolutely love the flavors of this coffee and the quality. I highly recommend it for anyone.
99,5.0,2022-07-15,베스트 셀러 팩,Excelente inversión!!
100,5.0,2022-07-10,베스트 셀러 팩,"The people giving this machine negative reviews and saying a Keurig is better… I actually laughed out loud. This machine is 3,000 times better than any Keurig I’ve owned and I have had several. Yes, the coffee does not get scorching hot, but that’s a huge benefit in my mind. The coffee brews in less than 30 seconds and then is drinkable without burning your mouth immediately. The pods may be more expensive, but you get what you pay for. Their flavors are top notch, and truly taste as good or better than any coffee you can get in a coffee shop. I don’t see myself stopping at Starbucks anytime in the future. I can now make incredible coffee at home. Ten stars."
101,4.0,2022-07-22,베스트 셀러 팩,We did not like all three of these coffees
102,5.0,2022-07-14,베스트 셀러 팩,My husband enjoys these flavors so much that we have them on subscription. Keeps him well stocked.
103,4.0,2022-06-23,베스트 셀러 팩,I really love my nespresso machine and these flavors I just wish u could customize the flavors u want when u are ordering on Amazon without having to buy the flavors by themselves or in these pre picked sets especially if ur a subscriber I think u should be able to pick and choose whichever flavors u want to buy .
104,5.0,2022-07-08,베스트 셀러 팩,"The variety pack gives you 3 different flavors and intensity. Works for us, especially the quick delivery."
105,5.0,2022-05-22,베스트 셀러 팩,These make a large cup of rich coffee. So delicious
106,5.0,2022-04-08,베스트 셀러 팩,"I love the fact that I don't have to rely on going all the way to a Nespresso store to re-up on my coffee because I don't live near one. Plus, it arrived so fast! Also, I love the variety pack option instead of just getting one flavor."
107,5.0,2022-06-27,베스트 셀러 팩,"It's really great coffee. I haven't tried all the varieties yet, but, so far, they have all been good. The brewer will have a cup of great coffee in less than 2 minutes--start to finish, including warm up."
108,5.0,2018-08-07,베스트 셀러 팩,Love this style of coffee really is top of the line
109,5.0,2020-01-30,베스트 셀러 팩,Outstanding taste and body for the bold coffee drinker
110,5.0,2022-07-07,베스트 셀러 팩,"These three came with the Nespresso machine I ordered. Good way to experience some of the many flavors available. I prefer the Melozio.
I've already ordered a ten box sampler to see what other taste treats are available!"
111,5.0,2022-05-29,베스트 셀러 팩,Nespresso machine was a gift from daughter. We love it. These coffees are great! Good value.
112,4.0,2022-06-29,베스트 셀러 팩,Great coffee taste! Easy to use and no mess!
113,4.0,2022-05-15,베스트 셀러 팩,"Flavors are pretty decent, id recommend giving it a try"
114,4.0,2022-06-30,베스트 셀러 팩,Really enjoy the coffee. Price is comparable to nespresso but I wish Amazon would offer to take the used ones to recycle like nespresso
115,5.0,2022-05-20,베스트 셀러 팩,"Arabica is the highest quality and contains least mold, no coffee allergies from it"
116,5.0,2022-06-22,베스트 셀러 팩,Very flavorful
117,5.0,2022-06-29,베스트 셀러 팩,"Easy to set up! Comes with a “starter box” of coffee pods, so you try all the flavors."
118,5.0,2022-06-18,베스트 셀러 팩,This is the best coffee that you can buy. It's more expensive than the other brands but it's worth the cost. Treat yourself.
119,4.0,2022-07-06,베스트 셀러 팩,"I prefer very strong coffee and these are like 7-8 on a scale to 10. If u like medium to dark, these are perfect"
120,5.0,2018-08-07,베스트 셀러 팩,The price
121,5.0,2020-01-30,베스트 셀러 팩,We just got a new Nespresso machine and ordered this coffee. It is great coffee. You get a variety of strengths.
122,5.0,2022-02-19,베스트 셀러 팩,"Buy these pods, it’s so easy and coffe tastes like coffee not water."
123,5.0,2022-05-19,베스트 셀러 팩,I’ve tried so many coffee but so far this is top one the best just little but on the pricey side since i drink many coffee a day its cost me too much
124,5.0,2022-06-20,베스트 셀러 팩,When I say a moment of silence and just needed for this coffee I mean a moment of silence the selection is versatile the coffee is strong I like the innovative design and the pots are recyclable
125,5.0,2022-03-13,베스트 셀러 팩,"I bought the nesspresso machine a while ago,but couldn't get pods.So I'm glad there excessible now.Kudos."
126,5.0,2022-06-19,베스트 셀러 팩,"Love all three of these coffee pods! Great flavor, Nice selection and the froth is delicious! Awesome gift for someone with a Nespresso machine."
127,4.0,2022-06-23,베스트 셀러 팩,Perfect combination; would be even better with an espresso option
128,5.0,2022-05-06,베스트 셀러 팩,"Really love this coffee, and the Nespresso machine is so good. This 30 pack at $36 means each cup is a little less than a dollar each. Compare that to how much it would cost at a coffee shop. These coffees are that good."
129,4.0,2022-05-19,베스트 셀러 팩,"shipment was all the same Melozio pods and not a variety pack :(
still gonna use them but not sure what happened. previous shipments OK"
130,3.0,2022-06-21,베스트 셀러 팩,nA
131,5.0,2022-06-23,베스트 셀러 팩,A bit pricey.
132,5.0,2018-08-07,베스트 셀러 팩,"These have very strong flavors if you want dark coffee. I preferred a little less acidity, but they smell amazing and strong"
133,3.0,2020-01-30,베스트 셀러 팩,For the quantity and quality there’s really no better product and it Hager’s delivered same day which comes in very handy especially when you have guest.
134,5.0,2022-05-20,베스트 셀러 팩,This variety pack is especially great for those who are new to the Nespresso VertuoLine experience. Try it!
135,5.0,2022-06-11,베스트 셀러 팩,I loved it it was very delicious satisfying would definitely order again
136,5.0,2022-05-04,베스트 셀러 팩,"A big move up from K-cups. Love the frothy cup in the morning. It is expensive, probably wouldn't have it if we weren't empty nesters. That aside I do recommend Nespresso."
137,5.0,2022-05-02,베스트 셀러 팩,I don’t drink coffee but husband LOVES coffee and these were bought for him. He loves the favor. We’ve purchased more than once already.
138,5.0,2022-04-09,베스트 셀러 팩,Blue arms to be a balanced flavor
139,5.0,2022-06-13,베스트 셀러 팩,Love the nespresso machine and all of their coffees are good. This is a particularly good blend
140,5.0,2022-06-29,베스트 셀러 팩,"Play Video
 Todo perfecto"
141,5.0,2022-06-05,베스트 셀러 팩,These are great if you’re looking for a variety of coffee choices in the morning. 3 different kinds all different in their flavor profiles. Plus you get a lot of pods for the price. Almost lasts me a month!
142,5.0,2022-05-30,베스트 셀러 팩,I love the flavor and the richness of this coffee. It is my go to....
143,5.0,2022-03-30,베스트 셀러 팩,The capsules in this collection are a great variety.
144,5.0,2018-08-07,베스트 셀러 팩,I’m so excited to try them I just haven’t received the nespresso machine yet
145,5.0,2020-01-30,베스트 셀러 팩,"While these are more on the pricey side, they are so worth it. Always delicious. And love the fact that the capsules recycle."
146,4.0,2022-06-22,베스트 셀러 팩,"Great, but if you order directly from Nespresso, for the same price, you're guaranteed a quality product, you'll get free samples, plus a recycling bag."
147,5.0,2022-05-31,베스트 셀러 팩,Great coffee! Just what I was looking for and delivers quick!
148,5.0,2022-06-08,베스트 셀러 팩,I enjoy the quality of the Nespresso machine and capsules. Tastes like specialty coffee shop joe without the cost.
149,4.0,2022-05-09,베스트 셀러 팩,They are good quality and a great value especially with a subscription.
150,4.0,2022-04-30,베스트 셀러 팩,When I first discovered the Nespresso pods were sold on Amazon it was advertised that a recycling bag would be included. That only occurred one time. I have not received any capsule recycling bags since.
151,5.0,2022-05-29,베스트 셀러 팩,"I like the flavors of the 3 coffees. I like the fact that I can reuse the pods with a refill kit I bought. Nespresso coffees are elegant, rich and the crema is the crowning glory."
152,5.0,2022-05-16,베스트 셀러 팩,If You have a machine nespresso...this is the best...stormio is a favorite fantastic flavor
153,5.0,2022-04-07,베스트 셀러 팩,The Coffe taste great that is why I ordered again but they sent me one that will expire 5-31-22 so seems they sending old coffe
154,5.0,2022-04-10,베스트 셀러 팩,Love the product just not the price
155,5.0,2022-03-08,베스트 셀러 팩,"Love it, it’s us always my favorite."
156,5.0,2018-08-07,베스트 셀러 팩,Si
157,5.0,2020-01-30,베스트 셀러 팩,I love my Nespresso Vertuo machine and have been very pleased with every coffee purchase made so far.
158,5.0,2022-09-03,베스트 셀러 팩,Always fast and exactly what I ordered
159,5.0,2022-06-07,베스트 셀러 팩,Fast!
160,5.0,2022-05-14,베스트 셀러 팩,Best price you'll find for this coffee
161,5.0,2022-07-19,베스트 셀러 팩,"Good coffee, easy to use, only hate the waste portion."
162,4.0,2022-05-11,베스트 셀러 팩,Taste super but a bit pricey
163,5.0,2022-05-22,베스트 셀러 팩,This is our favorite collection of coffee pods. I only wish we could find them for a lower price!
164,5.0,2022-04-16,베스트 셀러 팩,Always great flavor. Always tastes fresh
165,5.0,2022-05-06,베스트 셀러 팩,"Always same day delivery, great taste, we are on our 5 or 6th order. Works great in the machine."
166,5.0,2022-05-27,베스트 셀러 팩,I love the flavor! I also love that the pods are totally recyclable!
167,5.0,2022-05-14,베스트 셀러 팩,Nespresso vertuo was so delicious
168,5.0,2018-08-07,베스트 셀러 팩,They are good!
169,5.0,2020-01-30,베스트 셀러 팩,Liked the flavor of the coffee.
170,4.0,2022-06-23,베스트 셀러 팩,"The Nespresso is a very nice coffee-making machine. It has plenty of pressure and the coffee comes out ""foamy"" (good thing). Yes, the company needs to return a profit, but the pods are on the expensive side ($1.10 to $1.50 each). I think most people could live with $0.75 per pod, and Nespresso would still make a handsome profit."
171,5.0,2022-04-03,베스트 셀러 팩,I thought it was worth the money but still more expensive then other coffee brands
172,5.0,2022-05-18,베스트 셀러 팩,"Excellent value for an exceptional coffee.
However, recycling bags should be included."
173,5.0,2022-05-25,베스트 셀러 팩,They tasted amazing. Will purchase again.
174,5.0,2022-05-17,베스트 셀러 팩,I’ve ordered these through the manufactures website and it takes over a week to arrive. Amazon has the same items at the same price and I got it in 1 day. Hassle free and the coffee is great tasting. Very nice selection of coffees.
175,5.0,2022-04-27,베스트 셀러 팩,For serious coffee lovers. Nespresso never disappoints. I spent a lot of money and proudly held a gold card at SB. Everyday I would get SB coffee. I went to visit a friend that made me a cup of Nespresso coffee it was amazing. As soon as I went home I ordered a machine. Worth every penny! Also saving money. One cup keeps me going all day and the flavors are amazing.
176,5.0,2022-02-10,베스트 셀러 팩,"I am not a coffee drinker, but I purchased this as a Christmas gift for my wife, who uses one of these at work too. She absolutely loves it. The system is easy to use and I've been told the flavor of the coffee/espresso is wonderful. The pods are more expensive than other single cup systems, but I understand it's worth every bit of the money"
177,5.0,2022-05-19,베스트 셀러 팩,Good coffee
178,5.0,2022-05-05,베스트 셀러 팩,"We have tried many other options, brands and even diy pods. None of them could give the same quality, foam and consistency.
Nespresso pods as they are originally made for their machines, they are always extremely consistent, excellent flavor, lots of foam and quality coffee with great flavor.
Paying a little extra for something original, beats the hassle and eliminates the disappointment."
179,5.0,2022-03-02,베스트 셀러 팩,Highlight of my day! These are sooooooo yummmy!!
180,5.0,2018-08-07,베스트 셀러 팩,"Amazon delivery times are shorter than what’s provided but Nespresso. And prices are often better for some flavor choices, as well."
181,3.0,2020-01-30,베스트 셀러 팩,"This is a great product. Tastes great, somewhat affordable. However, it came late, so that's why the 3 star rating!"
182,5.0,2022-01-15,베스트 셀러 팩,Love the flavors and how fast I got them.
183,5.0,2022-04-02,베스트 셀러 팩,Switched to Nespresso after having a keurig. It’s so much better!
184,5.0,2022-05-13,베스트 셀러 팩,"I love these pods, I was really upset the last couple orders I've received had pods with dents in them. They do not work in my nespresso machine. I'm very happy that Amazon made it right. I will continue ordering, I hope it was a fluke🤞🏽"
185,5.0,2022-04-19,베스트 셀러 팩,Great product and speedy delivery!!!
186,5.0,2022-05-22,베스트 셀러 팩,"I like the coffee, it’s very creamy and rich. I wish it were just a little less expensive but I like it better than any other single serve coffees I’ve tried."
187,4.0,2022-05-22,베스트 셀러 팩,"The coffee is very good, but the pods are expensive (still cheaper than getting a drive-through coffee, though). The pods (colors, shape) are very attractive. Bought for my daughter & son-in-law as a hostess thank you gift."
188,5.0,2022-06-01,베스트 셀러 팩,I love love love these coffee pods! They are so good! In my opinion; they taste better than any cup of coffee I’ve gotten in Starbucks! I love these pods for my nespresso. These have been my favorite flavor bundle so far. Absolutely worth the money. I will be purchasing these again and highly recommend them
189,5.0,2022-05-01,베스트 셀러 팩,My husband loved his new Espresso machine and loved all the different flavors! Great product!
190,5.0,2022-05-16,베스트 셀러 팩,This product is very good
191,5.0,2022-05-28,베스트 셀러 팩,Very much likes the storm/green flavor
192,5.0,2018-08-07,베스트 셀러 팩,I loved that I was able to get different strengths in the nespresso pods and also the flavor pods as well!
193,5.0,2020-01-30,베스트 셀러 팩,Glade to find Nespresso on Amazon. That makes it convenient since there are no Nespresso stores where I live. Great tasing set from Nespresso; all Dark Roast!!!!
194,5.0,2022-05-13,베스트 셀러 팩,Best coffee ever
195,5.0,2022-05-10,베스트 셀러 팩,Makes wonderful coffee easily and quickly. I love this product!
196,5.0,2022-02-26,베스트 셀러 팩,My go to Nespresso pods. Excellent consistency and always very quality. These are one of my favorites
197,5.0,2022-04-16,베스트 셀러 팩,Perfecto
198,5.0,2022-05-13,베스트 셀러 팩,This great for the person who is truly into trying new flavors to find the ones they like instead of a sampler pack that has one capsule.
199,5.0,2022-04-22,베스트 셀러 팩,I have these on my Subscribe and Save shipping so I save a few dollars and I enjoy these flavors. This is an easier option for me than going through Nespresso's website.
200,5.0,2022-04-30,베스트 셀러 팩,Excellent flavor and freshness. I love the subscription I don't have to worry about
201,5.0,2022-05-14,베스트 셀러 팩,It’s great !!
202,5.0,2022-05-14,베스트 셀러 팩,"ABSOLUTELY AMAZING, WILL BUY AGAIN FOR SURE"
203,5.0,2022-05-13,베스트 셀러 팩,I love all things Nespresso and this is no exception.
204,5.0,2018-08-07,베스트 셀러 팩,I prefer the larger cup size (7.77 fl oz) and the med/dark flavors so I have this one on autoship every month
205,5.0,2020-01-30,베스트 셀러 팩,I got this as a Christmas gift for my wife. She WAS a Starbucks addict. Since she started using the Nespresso she’s not gone out of her way to get her Starbucks and says the flavor she gets from our Nespresso is not only better but is perfect to her tastes. We love it and talk about value for the money? I’d say that at $5.00 a cup at Starbucks vs. a little over a dollar for a cup at home is pretty cool. Our Keurig will be sitting in the garage as a backup. My only complaint would be the water reservoir is not as large as I’d like but it’s still easy enough to refill. I also LOVE that the company sends preaddressed and postage paid bags to drop off at UPS the used pods. Kudos to George Clooney for his funny commercials that got us interested!
206,5.0,2021-11-27,베스트 셀러 팩,Very good coffee!
207,5.0,2022-04-24,베스트 셀러 팩,"I enjoy the three different coffees. For a few deliveries a postage paid recycle bag was included to recycle the pods but it was an Amazon temporary feature, would like to see that continued."
208,5.0,2022-04-24,베스트 셀러 팩,"Very good cup of joe. I found this to be one of the most affordable ways to make use of my Nespresso machine. It comes out cheaper per serving than other flavors/combinations. The flavors in this set are very mild and ""standard,"" likely to suit the tastebuds of many coffee drinkers."
209,5.0,2022-05-10,베스트 셀러 팩,I love the flavor on each of one 🥰
210,5.0,2022-02-21,베스트 셀러 팩,Excellent flavor
211,5.0,2022-01-07,베스트 셀러 팩,always good
212,5.0,2022-01-12,베스트 셀러 팩,Taste good
213,5.0,2022-05-16,베스트 셀러 팩,Bought a Nespresso for my wife for Christmas. Extremely good coffee but we are both new at using it and exploring what we like and don’t like. Very nice variety pack that helps with that exploring. Not inexpensive but still a lot less than Starbucks while still being fun
214,5.0,2022-01-22,베스트 셀러 팩,"Very nice , practical too👍"
215,5.0,2022-05-03,베스트 셀러 팩,Exactly what I ordered. Next day shipping !!
216,5.0,2018-08-07,베스트 셀러 팩,Nespresso has yet to fail. It’s an excellent cup of coffee.
